Sector Name,Place,Road
1275_2LT01,['Isetann Cinerama Recto'],
1275_2LT02,[''],['Quezon Boulevard']
1275_3LT01,['Concordia College'],['President Quirino Avenue']
1275_3LT03,['Philippine General Hospital'],
1275_4LT02,['Rizal Memorial Sports Complex'],
1275_5LT01,['Polytechnic University of the Philippines'],
1275_6LT01,['Quezon Institute Compound'],
1275_6LT03,['University of Santo Tomas'],
1275_7LT01,['Polytechnic University of the Philippines'],
1275_7LT03,['Concordia College'],['President Quirino Avenue']
1276_0LT01,,['Meralco Avenue']
1276_0LT02,['University of Makati'],['Shaw Boulevard']
1276_0LT03,[''],
1276_1LT01,['Camp Aguinaldo Golf Course'],
